name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Analytical and Chaotic Dynamics,PHY2032,Physics,2,2,15,,N,N,N,N,N,N,N,"PHY1021, PHY1025",,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2032.html
Scientific Programming in Python,PHY2035,Physics,2,1,15,,N,N,Y,N,N,N,N,PHY1025,,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2035.html
BSC Research Project,NSC3001,Natural Sciences,3,2,30,,Y,N,N,N,N,N,N,N/A,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3001&ay=2020/1
Msci Research Project 1,NSC3002,Natural Sciences,3,2,30,,Y,N,N,N,N,N,N,N/A,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3002&ay=2020/1
Group Project,NSC3003,Natural Sciences,3,1,30,,Y,N,N,N,N,N,N,N/A,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3003&ay=2020/1
Semester of Science Studies Abroad,NSC3004,Natural Sciences,3,"1,2",60,,N,N,N,N,N,N,N,N/A,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3004&ay=2020/1
Macromolecular and Supramolecular Chemistry,NSC3007,Natural Sciences,3,1,15,,N,N,N,N,N,N,N,"NSC1003, BIO1345",N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/
Symmetry and Statistics of Molecules,NSC3008,Natural Sciences,3,1,15,,N,N,N,N,N,N,N,NSC2002,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3008&ay=2020/1
"Aerosols, Clouds and Climate",NSC3009,Natural Sciences,3,2,15,,N,N,N,N,N,N,N,"NSC1002, MTH1002, MTH1004",N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC3009&ay=2020/1
Ecology of Environmental Change,BIO3037,Biosciences,3,2,15,,N,N,N,N,N,N,N,BIO1336,N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3037&ay=2020/1
Pharmacology and Medicinal Chemistry,BIO3041,Biosciences,3,2,15,,N,N,N,N,N,Y,N,"BIO1332, BIO1341, A-level chemistry",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3041&ay=2020/1
Specilist Topics in Chemical Sciences,BIO3073,Biosciences,3,2,15,,N,N,N,N,N,N,N,NSC1003 cover for all topics,N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3073&ay=2020/1
Frontiers in Molecular Cell Biology,BIO3077,Biosciences,3,2,15,,N,N,N,N,N,N,N,"BIO2088, BIO2098",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3077&ay=2020/1
Organic Synthesis and Drug Design,BIO3089,Biosciences,3,1,15,,N,N,N,N,N,Y,N,BIO2085,N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3089&ay=2020/1
Bioinformatics,BIO3092,Biosciences,3,2,15,,N,N,N,N,N,N,N,"BIO2092, BIO2093, BIO2087",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3092&ay=2020/1
