name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Mathematical Theory of Option Pricing,MTHM006,Mathematics,4,2,15,,N,,N,N,N,N,N,"MTHM002, MTH3024",MTHM002,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM006
Engaging with Research,MTHM007,Mathematics,4,"1,2",15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM007
Computational Modelling,MTHM008,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM008
Advanced Topics in Mathematical and Computational Biology,MTHM009,Mathematics,4,2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM009
Representation Theory of Finite Groups,MTHM010,Mathematics,4,1,15,,N,,N,N,N,N,N,"MTH2002, MTH2010, MTH2011",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM010
Advanced Topics in Statistics,MTHM017,Mathematics,4,2,15,,N,,N,N,N,N,N,"MTHM501, MTHM502","MTHM501, MTHM502",N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM017
Modelling the Weather and Climate,MTHM023,Mathematics,4,2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM023
Algebraic Curves,MTHM029,Mathematics,4,2,15,,N,,N,N,N,N,N,"MTH2002, MTH2010, MTH2011",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM029
Statistical Modelling in Space and Time,MTHM033,Mathematics,4,2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM033
Research in Mathematical Sciences,MTHM036,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM036
Analytical Number Theory,MTHM041,Mathematics,4,1,15,,N,,N,N,N,N,N,"MTH2001, MTH2009",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM041
Space Weather and Plasmas,MTHM045,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM045
"Bayesian Statistics, Philosophy and Practice",MTHM047,Mathematics,4,1,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM047
Ergodic Theory,MTHM048,Mathematics,4,2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM048
Working with Data,MTHM501,Mathematics,4,1 or 2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM501
Introduction to Data Science and Statistical Modelling,MTHM502,Mathematics,4,1 or 2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM502
Applications of Data Science and Statistics,MTHM503,Mathematics,4,1 or 3,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM503
Data Science and Statistical Modelling in Space and Time,MTHM505,Mathematics,4,2 or 3,15,,N,,N,N,N,N,N,"MTHM501, MTHM502","MTHM501, MTHM502",N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM505
Statistical Data Modelling,MTHM506,Mathematics,4,1 or 3,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM506
Communicating Data Science,MTHM507,Mathematics,4,2,15,,N,,N,N,N,N,N,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTHM507
Quantum Mechanics II,PHYM002,Physics,4,1,15,,N,N,N,N,N,N,Y,"PHY2022, PHY2025",N/A,Y,,http://newton.ex.ac.uk/handbook/20-21/modules/PHYM002.html
Condensed Matter II,PHYM003,Physics,4,2,15,,N,N,N,N,N,N,Y,"PHY2024, PHY3051, PHYM001",PHYM001,Y,,http://newton.ex.ac.uk/handbook/20-21/modules/PHYM003.html
Physical Methods in Biology and Medicine,PHYM008,Physics,4,2,15,,N,N,N,N,N,N,N,"PHY2023, PHY3051, PHY3052",N/A,Y,,http://newton.ex.ac.uk/handbook/20-21/modules/PHYM008.html
Solar and Extra Solar Planets and Their Atmospheres,PHYM012,Physics,4,1,15,,N,N,N,N,N,N,N,"PHY1021, PHY1022, PHY2023, PHY3051",N/A,Y,,http://newton.ex.ac.uk/handbook/20-21/modules/PHYM012.html
Statistical Physics,PHYM001,Physics,4,1,15,,N,N,N,N,N,N,Y,PHY2023,N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHYM001.html
Computational Physics and Modelling,PHYM004,Physics,4,"1,2",15,,N,N,N,N,N,N,N,"PHY2025, PHY2027, Stage 1 IT skills",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHYM004.html
Relativity and Cosmology,PHYM006,Physics,4,2,15,,N,N,N,N,N,N,N,"PHY1021, PHY1022, PHY2025",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHYM006.html
Quantum Many Body Theory,PHYM013,Physics,4,1,15,,N,N,N,N,N,N,N,"PHY2024, PHY3051, PHYM002",PHYM002,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHYM013.html
Quantum Optics and Photonics,PHYM015,Physics,4,2,15,,N,N,N,N,N,N,N,"PHY1023, PHY2022, PHY3051",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHYM015.html
